"01 Rostlinná a živo?išná výroba, myslivost a související ?innosti",133270,141865,125390,121120,133787,127377,126472,144237,154035,133031,128245,171146,182250,190238,201199,201375,195563,204504,209524
02 Lesnictví a t?žba d?eva,37320,36244,36080,36683,34950,38635,46651,50194,47105,40859,45524,57790,55828,57834,57523,56843,52474,53852,52219
03 Rybolov a akvakultura,1556,1516,1612,1712,1618,1616,1983,1316,1409,1343,1488,1923,1838,1687,1498,1722,1624,1565,1680
05 T?žba a úprava ?erného a hn?dého uhlí,44429,47648,47337,45647,48133,50181,55469,62207,73322,59346,63393,66356,60982,50398,46624,42624,37101,41994,40981
06 T?žba ropy a zemního plynu,1846,1879,1943,1977,2164,2815,4055,4082,4075,4130,2967,3483,4380,4601,5727,5353,2592,2752,3619
07 T?žba a úprava rud,2020,1731,1996,2152,2271,2306,2443,2368,2647,2645,2859,3026,3292,2986,3098,3067,2585,2485,2629
08 Ostatní t?žba a dobývání,9566,11221,11923,12467,14259,14209,15678,18945,19421,17408,16393,15821,15144,15214,14796,16168,15809,16392,17759
09 Podp?rné ?innosti p?i t?žb?,2139,2096,2277,2326,2683,3006,3624,3911,4188,3330,3220,4362,4945,4443,4019,4169,3304,3631,3721
10 Výroba potraviná?ských výrobk?,216950,241708,241888,223606,246934,247627,250427,260416,265583,245567,236261,249850,253572,258460,264904,262965,258669,271121,281715
11 Výroba nápoj?,54173,58946,60596,64773,64445,63489,64992,71661,76507,74485,70177,70105,70868,70767,70605,72187,72069,74387,77493
12 Výroba tabákových výrobk?,14568,16902,15522,15554,14919,12985,9507,9889,10494,12744,11483,11773,12483,12029,12444,7500,8005,9138,10267
13 Výroba textilií,54425,59227,52724,52010,53686,51226,53477,53607,47953,40395,40655,45378,44906,46428,51237,51208,52379,54699,56149
14 Výroba od?v?,24051,23686,22686,21905,23987,22370,20870,21678,21468,19261,15200,15381,15119,15295,16617,17695,18253,19309,19765
15 Výroba usní a souvisejících výrobk?,8876,8416,6580,5566,6254,6791,6561,6982,6930,6860,5399,5508,5516,5655,5620,5778,5974,6013,4845
"16 Zpracování d?eva, výroba d?ev?ných, korkových, prout?ných a slam?ných výrobk?, krom? nábytku",54473,61593,63881,71462,74647,79536,88395,95685,94865,83775,80774,84780,80842,80235,85425,89724,91473,95435,100921
17 Výroba papíru a výrobk? z papíru,49439,51916,48864,49003,54815,54023,56088,62484,57305,50663,56813,58428,58955,60886,67046,72872,73505,76223,78850
18 Tisk a rozmnožování nahraných nosi??,18453,24621,28204,31032,32461,33567,38608,53362,55570,43289,43959,41244,37314,36619,40378,41808,41204,42841,43148
19 Výroba koksu a rafinovaných ropných produkt?,67562,58859,50014,55535,64346,108968,106639,98319,123743,79063,107098,122389,136618,123420,136380,90970,56144,87410,92291
20 Výroba chemických látek a chemických p?ípravk?,113531,110470,100131,100741,122272,128557,142190,134677,147399,114058,135807,149865,160342,155840,171531,155577,140047,148109,155860
21 Výroba základních farmaceutických výrobk? a farmaceutických p?ípravk?,19646,20856,23574,24922,28282,31901,33360,35804,34767,34813,37553,38889,38896,39554,42405,41847,42612,45258,46764
22 Výroba pryžových a plastových výrobk?,86285,108314,112514,135421,160773,178091,216739,233631,224663,192551,208677,231464,231809,234019,256581,271169,277919,299565,297757
23 Výroba ostatních nekovových minerálních výrobk?,114599,123154,124312,125818,136341,139523,156048,155650,157701,123979,117778,125270,121664,119633,131019,138007,136169,144836,151329
"24 Výroba základních kov?, hutní zpracování kov?; slévárenství",143390,154036,134861,148599,206854,218798,236409,237112,242928,144862,182649,209614,188684,183536,194417,185422,175574,192255,211542
"25 Výroba kovových konstrukcí a kovod?lných výrobk?, krom? stroj? a za?ízení",137965,163819,162399,174827,223692,242757,273182,293057,306515,237947,262489,290792,299322,301651,329066,349941,351774,382974,408615
"26 Výroba po?íta??, elektronických a optických p?ístroj? a za?ízení",64175,90118,103125,158535,210609,196315,247803,295212,298268,243744,270270,254314,285729,263054,290911,326999,334179,354021,374926
27 Výroba elektrických za?ízení,88760,97063,98551,107997,138830,142743,170065,194329,187123,160988,188019,226754,224917,231528,262857,280729,281916,303457,315828
28 Výroba stroj? a za?ízení j. n.,125172,140825,141768,150029,154529,177883,220262,293444,292190,231951,250686,277302,290944,299552,322747,331857,330525,356669,374338
"29 Výroba motorových vozidel (krom? motocykl?), p?ív?s? a náv?s?",299877,351002,351398,374358,428870,506941,598678,662845,616685,586191,705555,791384,782812,824236,980884,1100762,1197414,1278193,1287574
30 Výroba ostatních dopravních prost?edk? a za?ízení,17546,18806,22565,23865,23711,28758,33184,37938,43697,47786,47864,53473,54593,53726,62258,67979,68357,63640,70199
31 Výroba nábytku,28844,33832,37173,35558,37630,38839,39584,44405,45880,41544,38753,38492,38623,37242,40067,42273,45056,47522,47821
32 Ostatní zpracovatelský pr?mysl,31463,31154,31822,33836,36069,38157,41999,44685,43193,43221,47555,48403,50824,53726,57944,63231,66892,67991,72526
33 Opravy a instalace stroj? a za?ízení,46536,50222,52207,55661,67641,71839,84045,97384,100132,83696,85628,93108,94829,95824,101932,99712,104419,107362,111183
"35 Výroba a rozvod elekt?iny, plynu, tepla a klimatizovaného vzduchu",204578,239691,246111,262079,272520,278525,358085,353292,390642,386017,382732,421425,430167,428903,370932,377338,369595,386485,382366
"36 Shromaž?ování, úprava a rozvod vody",20113,20331,23209,25246,27469,28247,27531,27781,31411,33555,34107,35588,37206,38548,40311,41799,43199,45080,46584
37 ?innosti související s odpadními vodami,2581,3009,2885,2855,3064,3099,3612,3785,3302,3406,2735,2945,2662,2555,2364,2265,2577,2775,2985
"38 Shromaž?ování, sb?r a odstra?ování odpad?, úprava odpad? k dalšímu využití",31377,32181,35816,37336,47472,47372,58041,64642,69326,60692,71865,80095,75758,71132,71950,69716,68212,76389,82112
39 Sanace a jiné ?innosti související s odpady,671,733,782,858,1078,1058,1196,1388,1501,1840,1037,1483,1575,1392,2880,2301,1106,1216,1595
41 Výstavba budov,189421,206408,216981,237153,250550,273068,315527,376151,383336,325961,299879,287326,263025,249427,249753,258058,249087,275733,310105
42 Inženýrské stavitelství,113115,124257,133110,144546,153267,168336,196636,228335,230665,246502,261955,219084,196593,186568,199064,224806,195017,186297,208197
43 Specializované stavební ?innosti,167620,164490,180232,198937,211271,216986,239549,284583,300814,274084,274651,293058,268419,262343,270552,289411,294774,318786,355238
"45 Velkoobchod, maloobchod a opravy motorových vozidel",50663,57666,64131,72065,76485,80554,93630,106051,117211,106201,101833,105423,97956,102594,118245,132380,141890,151941,157143
"46 Velkoobchod, krom? motorových vozidel",286946,284490,282970,309663,339701,338698,382698,403491,411601,376254,432568,453167,442517,458102,479093,492827,495718,552788,603761
"47 Maloobchod, krom? motorových vozidel",152948,167039,199842,198342,211724,220617,241573,250409,268538,277201,283105,292932,290162,278634,292701,305751,322075,351703,378757
49 Pozemní a potrubní doprava,168826,190162,197238,217914,237473,247014,273032,309031,309234,272967,289658,292307,287944,285669,301596,319701,324460,338344,348654
50 Vodní doprava,1723,1220,661,845,1026,1017,966,1129,1092,959,814,811,796,800,883,1081,1053,1029,1116
51 Letecká doprava,20651,21771,22022,24272,28591,30143,31718,35336,36853,32474,32621,32322,29902,26585,26679,26201,27419,30600,33367
52 Skladování a vedlejší ?innosti v doprav?,103450,112023,106760,126339,129537,135447,149740,177379,198597,191984,201193,202985,210900,214603,229786,246322,253951,263634,284063
53 Poštovní a kurýrní ?innosti,15515,17023,18210,19099,20650,22167,24432,25584,25488,28658,30965,32180,31837,30614,31125,33638,35548,35870,34438
55 Ubytování,28969,29136,28088,32143,32814,34859,40724,50608,51276,45662,45103,44553,44281,44971,46632,51487,54054,58708,60149
56 Stravování a pohostinství,93542,92261,94198,97913,102130,102032,108939,124741,124365,120558,111133,114708,112407,111047,109812,121479,129599,150714,161660
58 Vydavatelské ?innosti,29368,32954,30957,28988,29946,36489,39825,33833,35429,38762,35556,34002,36216,36327,38862,41937,42649,47114,52411
"59 ?innosti v oblasti film?, videozáznam? a televizních program?, po?izování zvukových nahrávek a hudební vydavatelské ?innosti",10748,10269,13740,17098,17196,15144,23464,18618,15798,15251,18339,18573,18921,20562,20010,22834,25463,25206,27370
60 Tvorba program? a vysílání,12328,13465,14651,15264,15660,19935,18791,25838,28360,25208,25381,25818,25301,26525,26920,27409,29446,29660,31809
61 Telekomunika?ní ?innosti,98801,105720,111191,118742,122970,127343,136845,142731,143576,138823,130409,121377,115107,107540,107347,119719,124249,128341,130818
62 ?innosti v oblasti informa?ních technologií,34127,41182,43628,48581,56417,72171,85270,98425,103832,114772,118068,132059,133913,136478,140447,155542,166228,181157,200324
63 Informa?ní ?innosti,6053,6730,7306,8161,7237,7797,9605,20707,26055,25890,26631,26062,24075,24934,27546,30235,35223,37640,41577
"64 Finan?ní zprost?edkování, krom? pojiš?ovnictví a penzijního financování",96461,100553,104006,116136,119087,143204,149907,168654,178211,182736,202764,198320,195268,195393,196256,208565,203039,202898,210464
"65 Pojišt?ní, zajišt?ní a penzijní financování, krom? povinného sociálního zabezpe?ení",31649,39988,39110,43923,55529,54096,62651,71632,78331,80073,79701,79171,77661,78208,77910,78007,78782,82987,85411
66 Ostatní finan?ní ?innosti,18477,23720,19757,22301,23787,21281,23820,32687,33936,33234,32320,35640,37981,42796,45561,47887,49788,54851,54430
68 ?innosti v oblasti nemovitostí,306511,317889,330682,348701,381120,406380,440837,484548,565802,577492,608748,617507,618992,612859,624896,651602,683777,732114,783492
69 Právní a ú?etnické ?innosti,35683,32217,43475,47441,48084,51979,55529,67511,75866,73419,69321,73546,74802,72224,76933,77729,84084,88251,96135
70 ?innosti vedení podnik?; poradenství v oblasti ?ízení,25099,31359,36966,42395,28906,30465,33095,39082,47398,56534,59365,58942,57332,60415,61090,65234,66349,70781,74966
71 Architektonické a inženýrské ?innosti; technické zkoušky a analýzy,67716,78286,79043,88062,97933,107185,117321,148972,166623,159208,156087,155324,147208,141275,141400,144011,140940,145842,154349
72 Výzkum a vývoj,20227,18155,22216,20565,20355,21692,21331,24428,26045,26316,26003,30669,32140,35604,40314,46902,50387,52006,54310
73 Reklama a pr?zkum trhu,54791,52980,54500,71216,76981,86095,82248,90254,100314,90716,90688,89797,85776,80438,82645,84676,88782,91888,94733
"74 Ostatní profesní, v?decké a technické ?innosti",27889,35608,43157,42307,44313,46597,52142,63508,68011,44999,52751,50322,54676,65318,73331,74139,81328,97732,119880
75 Veterinární ?innosti,1617,2493,2956,3114,2868,3518,3889,4158,3962,4320,4286,4299,4486,4526,4971,5204,5564,5958,6019
77 ?innosti v oblasti pronájmu a operativního leasingu,8646,9696,12882,14212,14880,18474,22205,26225,31408,28269,28429,27924,27206,29916,30136,32411,37376,40727,44184
78 ?innosti související se zam?stnáním,2081,2674,2372,3183,3707,4435,6133,13567,15499,10581,10279,14212,10228,11289,11827,14194,17094,19233,22957
"79 ?innosti cestovních agentur, kancelá?í a jiné rezerva?ní a související ?innosti",33872,34764,33952,35534,42107,42906,48559,49024,51557,45343,43575,45243,46918,51474,50978,53716,58976,71844,83542
80 Bezpe?nostní a pátrací ?innosti,12025,13515,14402,13766,15531,14263,14764,20887,21699,20643,18963,19661,18974,18705,19606,21056,22520,24409,27690
81 ?innosti související se stavbami a úpravou krajiny,18888,19815,19975,21426,22804,23752,24012,30544,32977,29916,30546,31941,33686,32879,35407,35283,36837,41504,45460
"82 Administrativní, kancelá?ské a jiné podp?rné ?innosti pro podnikání",12087,17585,21796,23546,22592,23654,27461,33124,34953,46424,32530,33329,32812,37344,36976,39446,43892,42499,45341
84 Ve?ejná správa a obrana; povinné sociální zabezpe?ení,220284,233033,271116,293466,303675,316718,334667,346727,364514,374491,371332,354953,342762,351159,360423,365087,382521,405442,440883
85 Vzd?lávání,107815,119745,131462,148387,150819,161312,173219,183706,192899,200316,201272,206087,205056,210902,217808,224820,229514,245585,270889
86 Zdravotní pé?e,108374,115875,130529,139970,143342,156847,166852,181950,197656,211521,212091,221015,224272,226516,238614,247586,262577,274146,294517
87 Pobytové služby sociální pé?e,11200,13327,14661,17452,17963,18938,19931,22169,23735,24396,24865,26867,27886,29328,30188,30276,31951,35125,39493
88 Ambulantní nebo terénní sociální služby,2911,3176,3165,4023,5042,6194,6819,7800,7966,8467,9034,8989,9016,9362,9837,9956,10996,11887,13072
"90 Tv?r?í, um?lecké a zábavní ?innosti",9544,10625,10639,12451,12964,12944,14645,14630,15680,16312,14338,14425,14584,14954,16011,17127,17998,18938,21759
"91 ?innosti knihoven, archiv?, muzeí a jiných kulturních za?ízení",8250,8411,9565,10781,9971,10844,10786,12193,12157,12953,12902,12972,13358,13647,14150,14051,14970,16073,17873
"92 ?innosti heren, kasin a sázkových kancelá?í",22733,23886,19228,22930,25339,26501,32399,32978,36197,35294,34490,34582,29179,29792,31207,31787,30337,31684,25298
"93 Sportovní, zábavní a rekrea?ní ?innosti",18564,20433,22462,23116,27157,27530,31861,32179,33586,32067,31413,34126,34997,34881,34773,37183,39395,41036,44219
94 ?innosti organizací sdružujících osoby za ú?elem prosazování spole?ných zájm?,17514,16421,19228,17675,21583,24207,25414,24276,25445,25423,25944,26170,25993,26474,26166,24934,27771,29942,32500
95 Opravy po?íta?? a výrobk? pro osobní pot?ebu a p?evážn? pro domácnost,8231,10717,10166,12420,12572,11052,12626,13791,14785,16188,18569,17735,16644,16823,18926,20229,19673,20286,22389
96 Poskytování ostatních osobních služeb,27434,26035,29079,32888,32233,30487,34183,36820,33097,28435,28742,31348,31362,31090,31346,33906,35124,36422,38288
97 ?innosti domácností jako zam?stnavatel? domácího personálu,778,963,1151,1298,1348,1473,1602,1673,2145,2771,2621,2570,2868,3151,3334,3464,4193,4600,5373
